Country,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey
Kuwait,1323.3,391.1,163.1,1033.0,122.9,57.1,21.5,236.3,66.7,67.2,20.9,13.7,2.7,1.2,10.8,129.4
Kyrgyzstan,1215.1,132.4,80.2,3924.8,285.3,166.1,6.2,112.9,318.1,329.0,35.4,146.0,26.3,1.4,4.8,83.5
Laos,135.1,20.8,9.3,16.4,3.1,1.0,2.4,40.8,387.7,11.1,0.7,87.2,2.0,0.0,2.7,55.8
Latvia,773.3,195.9,76.4,148.1,17.0,12.3,46.9,737.3,735.4,205.4,118.9,124.5,13.6,8.7,10.3,197.0
Lebanon,2456.0,536.6,268.2,911.7,89.0,63.7,22.2,294.3,308.3,118.4,17.0,93.5,10.1,1.1,2.4,33.9
Lesotho,28.2,7.9,4.2,0.1,0.0,0.0,0.5,7.5,196.0,107.9,38.7,0.2,0.0,0.0,0.7,12.5
Liberia,195.1,61.8,42.2,44.4,5.9,5.0,9.0,102.8,198.8,7.9,3.0,0.8,0.3,0.0,1.7,18.6
Libya,2625.9,355.3,332.8,4264.9,1231.6,837.3,10.7,115.4,19.8,30.6,1.7,24.4,5.5,1.4,8.4,122.5
Lithuania,1579.1,341.1,170.5,223.9,19.4,15.4,43.4,684.3,1522.0,262.6,118.6,524.8,59.2,10.6,14.2,309.9
Luxembourg,335.6,86.1,31.7,117.7,28.0,11.5,24.5,202.7,90.1,17.9,13.8,132.1,31.9,15.6,12.4,80.6
Macedonia,647.8,110.9,62.4,199.3,11.4,14.6,18.1,302.7,357.5,109.1,136.5,60.8,4.8,2.0,15.9,340.8
Madagascar,494.4,261.7,76.3,9.3,1.9,0.6,3.8,44.5,2873.2,415.4,56.5,44.7,2.4,0.1,2.5,44.2
Malawi,675.2,81.4,75.9,32.8,3.2,1.5,1.5,21.2,1129.7,202.6,59.4,3.0,0.2,0.1,0.2,4.1
Malaysia,30035.2,2346.8,2921.7,2876.7,230.8,59.3,230.2,2919.8,45510.8,1637.9,2172.0,754.4,73.8,72.5,244.6,3912.6
Maldives,164.1,47.5,27.6,76.7,10.3,6.9,1.1,17.1,68.5,32.6,11.7,0.2,0.0,0.0,0.1,3.0
Mali,444.1,85.1,48.5,24.9,4.4,1.5,2.4,28.0,3671.8,22.0,0.8,16.6,0.4,0.0,0.1,2.3
Malta,392.0,121.1,56.1,151.8,36.2,9.8,8.3,81.8,164.1,82.3,35.9,3.2,0.7,0.2,4.3,36.7
Marshall Islands,22.7,2.9,1.3,5.4,0.5,0.3,2.2,26.2,55.3,0.2,0.1,0.0,0.0,0.0,0.2,1.9
Martinique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,650.0,97.0,57.2,23.8,6.1,2.1,1.7,19.1,5.3,1.8,0.7,2.8,0.1,0.0,1.5,25.6
Mauritius,2353.5,657.5,311.4,245.3,24.5,5.4,7.1,96.1,1311.2,381.0,126.3,23.8,0.4,0.1,2.7,46.3
Mexico,51487.2,12581.3,6753.5,13919.3,1016.3,945.8,571.1,5024.4,10946.5,8409.7,1184.1,2181.1,168.2,98.4,292.5,2824.6
"Micronesia,Fed States of",18.0,8.9,3.1,13.8,1.9,0.3,0.1,1.3,13.6,6.0,2.1,0.1,0.0,0.0,0.0,0.2
Moldova,297.5,55.4,27.3,63.5,11.5,3.2,9.8,168.4,1599.6,145.8,68.0,231.9,29.9,5.3,27.6,280.1
Mongolia,435.5,44.8,65.5,24.8,3.0,1.5,4.5,76.0,128.7,68.7,24.7,575.8,18.1,7.8,4.4,97.0
Montserrat,0.6,0.2,0.1,0.3,0.0,0.0,0.1,0.5,8.0,2.1,1.2,0.1,0.0,0.0,0.0,0.1
Morocco,9964.3,1099.5,887.5,118.6,24.4,9.1,42.0,497.7,1399.3,2428.7,78.1,170.5,21.2,5.5,17.4,186.0
Mozambique,1234.8,193.6,136.9,139.9,12.2,2.4,1.9,23.6,1840.9,59.3,17.4,6.5,0.4,0.0,1.0,16.0
Myanmar,1097.5,43.9,72.9,99.7,18.1,7.4,9.0,132.2,4261.9,38.0,23.4,391.8,21.2,12.2,5.8,113.1
Namibia,316.8,85.6,31.0,76.6,19.2,2.4,1.1,11.6,53.3,8.7,6.5,195.8,6.2,0.2,0.4,5.8
Nauru,1.5,0.3,0.1,4.5,0.5,0.1,0.1,1.4,1.4,0.4,0.2,0.5,0.3,0.0,0.0,0.7
Nepal,1964.8,273.9,632.4,29.0,4.2,1.0,6.0,102.8,1149.0,29.4,217.2,113.5,4.7,0.7,2.0,48.1
Netherlands,49940.6,3334.2,3391.9,5859.4,833.6,549.2,577.8,6494.0,33406.0,1939.6,1621.8,9582.2,1556.1,819.2,439.9,3764.7
New Caledonia,108.4,21.8,13.2,27.6,9.5,1.5,3.0,28.3,5.1,0.2,0.6,23.2,2.3,3.4,0.8,6.6
New Zealand,4009.9,578.5,426.4,1157.0,60.9,26.8,43.4,481.0,503.9,74.8,21.7,8205.9,1361.0,82.7,8.6,86.9
Nicaragua,706.6,104.0,99.0,44.0,4.5,2.9,4.8,56.0,2089.8,40.1,47.3,299.1,27.6,1.9,1.1,18.2
Niger,673.6,154.9,50.7,26.8,6.0,1.3,1.0,11.8,85.2,68.1,7.8,13.7,0.5,0.0,0.6,10.1
Nigeria,7081.4,1095.1,798.7,207.9,57.8,16.8,28.0,344.7,6463.8,47.3,44.4,50.1,4.1,0.4,46.5,828.1
Niue,0.4,0.0,0.1,0.4,0.1,0.0,0.1,0.7,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1
North Mariana,2.6,0.5,0.2,3.1,0.5,0.0,0.5,7.5,7.5,4.3,1.5,0.1,0.0,0.0,0.0,0.1
Norway,3560.7,575.0,403.7,146.7,11.5,6.8,113.4,1226.2,396.2,48.7,21.2,130.4,23.1,5.5,88.5,774.0
Oman,1465.4,539.8,199.2,1241.7,137.0,26.0,12.5,164.6,353.5,279.6,100.5,353.6,33.6,4.5,6.0,97.0
Pakistan,14321.5,2746.5,1292.6,199.1,20.9,6.4,29.4,379.1,15037.1,34081.4,10158.3,346.7,30.2,5.4,54.5,1018.5
Palau,3.6,1.9,0.7,3.2,0.3,0.2,0.1,1.2,10.3,5.8,2.0,0.0,0.0,0.0,0.0,0.6
Panama,751.5,83.8,116.7,53.1,10.7,4.7,11.0,124.3,1006.2,227.5,107.7,130.7,16.7,5.3,4.1,51.3
Papua New Guinea,3362.4,6010.9,285.2,724.7,56.0,18.8,2.4,29.3,4091.2,9.8,19.1,4.2,0.3,0.1,1.1,17.5
Paraguay,379.3,29.6,50.2,58.1,7.8,1.1,7.1,82.9,11435.0,11.7,131.8,1084.7,43.6,10.6,0.8,10.7
Peru,6675.2,479.6,692.1,307.4,22.0,8.7,24.3,270.0,2436.7,517.9,259.1,62.0,7.9,0.9,33.5,213.8
Philippines,11823.1,1648.8,1631.5,2197.9,247.0,70.4,97.3,1233.9,16018.3,931.0,420.6,61.6,15.1,3.5,302.7,5494.2
Poland,11501.5,2229.6,1121.7,715.6,77.5,64.7,223.1,2870.2,3946.3,909.0,881.2,2569.4,230.3,195.2,268.6,2471.2
Portugal,12594.1,2479.3,952.0,2214.8,294.5,216.4,72.6,750.5,5564.7,1870.3,614.8,569.2,173.4,56.8,53.1,426.0
Qatar,537.7,259.1,101.8,240.2,35.1,13.7,11.3,122.4,100.0,60.1,20.0,9.5,0.9,0.2,5.9,67.4
Romania,3876.5,1117.7,470.6,800.5,82.2,80.4,90.4,1268.0,5084.5,724.5,687.0,1085.5,47.1,35.3,147.0,2195.7
Russian Federation,28881.8,8641.0,1840.2,9729.5,647.9,604.5,233.1,3575.6,17512.8,1414.0,902.8,4752.8,297.3,154.9,1631.5,31687.8
Rwanda,213.6,22.9,52.2,5.1,0.6,0.2,0.6,7.7,228.3,0.4,0.2,4.9,0.2,0.0,0.1,2.4
Saint Helena,53.1,0.9,0.3,0.8,0.1,0.1,0.1,0.6,0.6,0.3,0.1,0.2,0.1,0.0,0.0,0.2
Saint Kitts and Nevis,56.3,7.8,3.6,7.6,1.0,0.6,0.7,8.5,34.7,0.9,0.5,0.0,0.0,0.0,0.2,3.1
Saint Lucia,46.6,11.0,9.9,26.1,3.7,1.5,0.8,7.0,8.5,2.7,1.1,0.0,0.0,0.0,0.1,0.7
Saint Pierre & Miquelon,1.4,0.1,0.9,0.9,0.2,0.1,0.1,1.0,2.6,0.1,0.1,0.0,0.0,0.0,0.0,0.1
Saint Vincent/Grenadines,71.4,17.2,10.3,10.8,1.9,0.7,0.5,5.0,76.6,9.5,4.9,0.7,0.0,0.0,0.2,2.1
Samoa,14.1,3.0,1.8,27.8,3.4,0.4,0.2,2.6,48.9,1.0,0.4,0.5,0.1,0.0,0.0,0.3
Sao Tome and Principe,21.7,2.6,4.7,1.2,0.5,0.1,0.1,0.6,78.0,0.1,0.7,0.1,0.0,0.0,0.0,0.1
Saudi Arabia,11964.6,2342.6,1724.8,2544.5,288.1,70.7,96.7,1084.4,340.6,377.9,66.5,474.3,122.1,45.2,66.4,971.4
Senegal,2542.2,530.3,220.5,79.7,20.0,4.6,5.0,59.0,1598.8,40.6,11.0,44.8,5.2,0.1,1.1,15.2
Serbia and Montenegro,1193.6,271.6,116.1,108.3,17.2,10.9,30.7,452.7,934.3,88.8,81.3,200.4,10.0,8.9,132.8,2524.1
Seychelles,86.0,10.5,6.8,15.1,8.2,0.8,0.7,8.7,39.0,2.0,0.6,0.9,0.0,0.0,0.1,0.9
Sierra Leone,1043.6,92.8,177.3,31.3,2.8,1.9,0.8,9.8,134.4,1.5,0.7,0.4,0.0,0.0,0.4,6.2
Singapore,9460.2,1166.2,982.0,1549.2,182.9,109.2,411.1,5361.5,8993.2,2408.1,973.9,289.0,58.0,13.4,224.7,3713.3
Slovakia,1812.4,534.8,234.1,392.5,52.7,40.0,79.1,1088.2,1482.6,246.8,194.0,266.8,47.4,23.1,55.9,852.6
Slovenia,1625.2,365.2,203.1,297.2,18.6,26.8,45.1,538.4,418.6,151.2,347.7,195.1,35.0,38.9,40.5,477.6
Solomon Islands,157.7,6.9,5.9,3.3,0.3,0.1,0.2,2.5,168.1,0.6,0.8,0.4,0.0,0.0,0.0,0.0
Somalia,536.8,166.4,74.6,3.3,1.3,0.2,0.2,3.3,57.0,46.5,0.5,8278.6,588.1,52.8,0.0,0.2
South Africa,9844.2,831.3,764.2,862.5,63.9,21.2,80.9,881.7,5598.3,3194.3,537.5,1975.2,130.1,23.5,47.9,484.5
Spain,37090.7,4598.5,3697.3,3819.4,626.1,276.6,529.1,5608.9,13755.6,7959.8,1330.0,5768.3,870.3,726.7,218.8,1414.3
Sri Lanka,4646.4,980.6,657.4,180.2,54.8,7.0,19.0,295.0,4642.4,923.2,584.4,15.0,0.9,0.5,12.2,243.0
Sudan,1572.8,183.0,169.6,28.8,13.4,2.2,7.9,111.7,2677.7,2105.3,258.7,317.2,21.9,0.4,5.4,104.0
Suriname,74.3,9.3,8.5,21.4,1.5,1.5,1.4,13.8,91.1,29.7,9.8,1.0,0.2,0.1,1.3,17.5
Swaziland,451.7,888.2,34.4,765.2,35.7,8.4,0.5,6.5,336.3,74.3,0.9,81.4,3.7,0.2,0.2,3.5
Sweden,5924.4,984.4,732.2,789.0,106.9,64.4,201.2,2038.6,1664.4,215.6,259.0,386.2,56.6,56.8,145.1,1006.2
Switzerland,6622.7,1226.6,725.9,686.1,64.8,44.3,277.0,2742.6,2369.6,618.7,464.0,254.9,84.4,24.6,177.0,1140.6
Syria,3067.3,765.2,276.4,172.7,19.8,5.7,17.4,260.5,1950.5,3243.8,499.9,714.3,33.6,16.3,19.6,373.9
Tajikistan,3012.8,90.5,41.0,14.8,4.5,1.6,4.3,75.7,975.8,2934.7,76.3,31.3,2.4,0.1,4.8,140.2
Tanzania,1783.4,327.1,220.6,14.2,3.7,0.7,4.6,62.6,3864.4,129.7,34.7,82.2,8.2,0.2,0.3,6.0
Thailand,15435.5,2715.2,1149.2,1924.8,249.3,71.0,192.8,2580.6,37250.3,4917.0,5020.0,1866.2,325.1,54.7,150.2,2694.8
Togo,676.6,81.1,88.0,12.8,4.0,0.6,1.6,20.6,2220.4,4.0,58.9,10.4,1.7,0.1,0.6,9.4
Tokelau,44.4,17.2,4.2,2.6,0.2,0.1,0.2,1.6,10.6,5.3,2.2,0.2,0.0,0.0,0.0,0.2
Tonga,14.8,1.4,1.2,23.7,2.3,0.1,0.1,1.0,23.7,2.2,2.1,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,6512.2,13033.2,4353.4,142.2,21.0,8.0,10.3,101.4,246.2,17.2,9.5,7.3,1.2,0.4,8.2,97.3
Tunisia,5613.7,1400.8,599.6,140.7,21.7,10.1,28.3,283.7,8320.2,403.2,573.4,264.1,38.7,17.8,13.4,134.0
Turkey,16541.1,6365.7,1571.7,970.1,92.8,23.3,260.1,3634.0,8650.7,11236.8,1738.2,283.3,37.0,13.7,102.9,1610.3
Turkmenistan,534.6,83.1,36.9,57.4,9.4,4.0,10.6,177.5,636.3,2989.7,3.5,23.0,2.7,0.0,12.5,291.3
Tuvalu,1.6,0.2,0.2,1.2,0.2,0.0,0.2,1.4,15.0,7.5,2.9,0.0,0.0,0.0,0.1,0.3
Uganda,1162.6,104.1,113.6,29.1,1.3,0.3,3.0,45.1,3627.1,1.6,5.6,73.8,8.9,0.2,0.1,2.0
Ukraine,4585.8,677.3,347.6,349.3,26.1,19.3,154.6,2750.0,15289.2,545.6,691.4,2303.6,227.5,78.0,292.5,5888.6
United Arab Emirates,6812.3,2691.5,881.0,2102.7,212.0,102.1,138.0,1834.0,3775.0,1273.5,604.8,337.8,114.2,17.5,55.7,967.8
UK,42005.2,8879.3,5143.0,7599.0,1043.1,515.0,1062.1,11220.2,9192.5,1847.8,1500.4,2346.1,413.5,247.0,450.5,3586.6
USA,118284,25160,15343,22412,1194,1421,4054,46223,189311,33616,28992,32086,2707,2189,2891,21880
Uruguay,813.6,35.4,66.4,161.6,16.2,4.9,9.7,121.9,2979.4,580.3,166.3,3672.1,150.4,11.8,1.6,25.2
Uzbekistan,4419.5,186.4,119.5,132.6,11.4,8.4,15.2,258.7,1641.1,13399.8,6.4,5.0,1.2,0.0,15.7,314.3
Vanuatu,27.1,1.5,1.8,3.4,0.5,0.1,0.3,3.1,227.3,1.0,0.4,22.6,2.3,0.1,0.0,0.5
Venezuela,6371.6,502.7,725.4,460.8,65.1,13.1,39.3,363.9,905.5,57.5,65.9,519.5,39.4,1.1,31.2,430.4
Viet Nam,4838.0,509.3,409.7,557.3,106.3,21.8,54.0,779.9,15541.2,563.0,1788.8,154.8,11.8,8.8,405.8,7704.4
Wallis and Futuna Is,3.7,1.0,0.4,6.1,0.6,0.1,0.2,1.5,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Yemen,4601.2,906.5,658.9,15294.5,703.0,65.6,5.2,69.0,127.5,240.5,10.0,85.4,13.3,0.4,3.4,59.5
Zambia,508.9,87.6,35.9,15.4,1.4,0.4,2.9,37.4,603.7,123.4,3.7,22.5,1.3,0.1,5.0,91.0
Zimbabwe,967.0,88.3,80.6,36.0,2.2,0.5,3.6,40.1,4714.1,267.8,83.6,316.1,11.7,4.0,6.0,107.8
